"Status","Name","Duration in ms","Description"
"passed","eg.amazon.testcases.CartTest.VerifyThatItemsAreAddedToCartCorrectly","22238",""
"passed","eg.amazon.testcases.LoginTest.VerifyThatUserCantLoginWithValidButNotRegisteredEmail","18987",""
